trip_id,trip_length,sudden_brake,sudden_acceleration,sudden_turn,tight_turn,speeding,sudden_stop,route_deviation,violation_score,trip_rating
39,47.0,0,0,1,1,1,1,0,20,9.6
40,32.8,0,1,0,1,0,1,0,15,9.5
41,37.5,2,2,0,0,2,2,0,40,8.9
42,12.9,1,1,1,0,0,1,0,17,8.7
43,22.0,0,1,0,1,0,1,0,15,9.3
44,11.9,1,0,1,0,1,0,3,35,7.1
45,47.1,0,1,0,1,2,0,0,22,9.5
46,16.9,1,0,0,0,1,0,0,11,9.4
47,19.6,0,0,1,0,1,1,0,14,9.3
48,46.8,1,2,1,1,2,1,0,39,9.2
49,13.1,1,1,1,0,1,0,0,18,8.6
50,35.6,0,0,1,0,1,0,0,9,9.7
51,30.8,1,1,0,0,1,0,0,15,9.5
52,4.0,1,1,1,1,0,0,1,25,4.0
53,5.2,0,0,1,0,0,1,0,8,8.5
54,14.7,1,1,1,0,1,1,0,23,8.4
55,18.3,1,0,0,1,0,1,0,16,9.1
56,31.3,1,1,0,1,1,1,0,26,9.2
57,32.1,1,1,0,1,1,1,0,26,9.2
58,39.9,2,2,1,2,1,0,0,39,9.0
59,4.5,0,0,1,0,0,1,0,8,8.3
60,22.4,1,1,1,1,0,1,0,23,9.0
61,32.1,0,0,1,0,0,1,0,8,9.8
62,2.9,1,1,0,0,1,0,0,15,5.0
63,5.0,0,0,1,1,1,1,0,20,6.1
64,1.3,1,1,0,0,1,0,0,15,1.0
65,32.7,1,1,1,0,1,1,0,23,9.3
66,1.3,0,1,1,0,1,0,0,13,1.0
67,31.0,1,0,1,0,1,1,0,19,9.4
68,40.1,1,2,0,0,0,2,0,23,9.4
69,31.5,0,0,1,1,0,1,0,14,9.6
70,11.1,1,1,0,0,1,0,0,15,8.7
71,33.0,0,1,1,1,1,1,0,24,9.3
72,25.1,1,0,1,0,0,0,0,8,9.7
73,40.3,0,1,0,0,2,0,0,16,9.6
74,6.8,0,0,1,1,0,1,0,14,8.0
75,12.3,0,0,0,0,0,0,0,0,10.0
76,26.9,1,1,0,1,0,0,3,36,8.7
77,1.0,0,0,1,0,0,1,0,8,3.2
78,47.6,2,1,2,0,0,2,0,30,9.4
79,27.9,0,1,0,0,1,0,0,10,9.6
80,46.6,1,2,1,2,1,0,0,34,9.3
81,27.5,0,1,0,1,0,1,0,15,9.5
82,43.4,1,2,1,0,1,0,0,22,9.5
83,35.5,0,0,0,1,0,1,0,11,9.7
84,18.8,1,0,0,0,0,0,0,5,9.7
85,19.1,0,0,0,1,1,0,0,12,9.4
86,45.4,2,1,2,0,0,1,0,25,9.5
87,3.3,1,1,0,0,0,0,0,9,7.4
88,29.4,1,0,0,1,0,0,0,11,9.6
89,11.6,1,1,1,0,1,0,0,18,8.5
90,2.6,0,0,1,0,1,0,0,9,6.8
91,4.2,0,0,0,1,0,0,0,6,8.6
92,35.0,0,1,0,0,0,1,0,9,9.7
93,3.4,1,1,1,1,0,1,0,23,3.4
94,32.5,1,1,1,1,1,1,0,29,9.1
95,13.4,0,1,0,0,0,0,0,4,9.7
96,30.3,1,0,0,1,0,0,0,11,9.6
97,21.1,0,0,0,1,1,1,0,17,9.2
98,27.8,0,0,1,0,1,0,0,9,9.7
99,49.3,2,0,1,2,0,1,0,30,9.4
100,28.7,0,1,0,0,0,0,2,18,9.4
101,43.3,0,0,2,0,1,2,0,22,9.5
102,38.6,0,1,1,2,0,0,0,19,9.5
103,6.9,0,0,0,1,1,0,0,12,8.3
104,31.1,1,0,1,0,1,1,0,19,9.4
105,38.7,2,1,0,1,0,1,0,25,9.4
106,20.5,1,0,0,0,0,0,0,5,9.8
107,35.4,0,0,1,1,1,1,0,20,9.4
108,29.7,1,0,0,0,0,1,0,10,9.7
109,25.9,1,0,1,1,0,1,0,19,9.3
110,47.5,1,0,1,0,0,1,0,13,9.7
111,17.7,1,0,0,1,0,0,0,11,9.4
112,23.3,1,0,0,1,1,1,0,22,9.1
113,35.0,0,0,1,0,0,0,0,3,9.9
114,30.3,0,0,0,0,1,1,0,11,9.6
115,2.1,1,0,0,0,1,1,0,16,2.8
116,6.9,1,0,0,0,1,0,0,11,8.4
117,34.5,1,1,0,0,1,0,3,36,9.0
118,40.4,0,2,0,2,2,2,0,42,9.0
119,12.2,1,0,1,1,1,0,2,34,7.2
120,13.0,0,0,0,0,1,0,0,6,9.5
121,5.8,1,1,0,0,0,1,0,14,7.6
122,19.2,1,0,0,0,0,1,0,10,9.5
123,6.4,0,0,1,0,1,1,0,14,7.9
124,25.2,0,1,0,1,1,0,0,16,9.4
125,21.9,0,1,0,0,1,1,0,15,9.3
126,28.8,1,0,0,1,0,0,0,11,9.6
127,5.5,1,1,0,1,1,1,0,26,5.4
128,14.6,0,1,0,0,0,0,0,4,9.7
129,20.8,1,1,0,1,1,1,0,26,8.8
130,43.3,1,1,0,1,1,2,0,31,9.3
131,36.1,2,1,2,0,0,1,0,25,9.3
132,35.7,1,0,1,0,1,0,0,14,9.6
133,38.5,1,0,1,2,2,0,0,32,9.2
134,3.1,1,1,1,0,0,1,0,17,4.7
135,16.5,1,1,0,0,0,0,0,9,9.5
136,30.0,1,1,0,0,1,0,0,15,9.5
137,41.6,1,1,0,2,0,1,0,26,9.4
138,3.8,1,1,1,1,1,0,0,24,3.9
139,39.9,1,1,2,0,0,0,0,15,9.6
140,31.9,1,1,0,0,1,0,0,15,9.5
141,22.9,1,1,1,0,0,1,0,17,9.3
142,22.2,0,0,0,0,0,0,0,0,10.0
143,3.8,1,0,0,0,1,1,0,16,5.9
144,36.7,1,2,2,0,0,1,0,24,9.3
145,39.5,1,0,0,0,0,2,0,15,9.6
146,2.2,1,1,1,0,0,1,0,17,2.6
147,41.2,2,2,0,2,0,0,0,30,9.3
148,20.7,0,1,0,0,0,0,0,4,9.8
149,36.0,0,0,1,0,1,1,0,14,9.6
150,11.8,0,0,1,1,0,1,0,14,8.8
151,7.4,1,0,0,0,1,1,0,16,7.9
152,5.6,1,1,0,1,0,1,0,20,6.5
153,38.7,2,1,0,1,2,0,0,32,9.2
154,42.1,2,2,0,1,0,0,0,24,9.4
155,9.7,0,0,0,0,1,0,0,6,9.4
156,30.6,0,0,0,0,1,1,0,11,9.6
157,30.4,0,0,1,0,1,0,0,9,9.7
158,23.6,0,1,0,0,1,0,2,24,9.0
159,7.5,1,0,0,1,1,0,0,17,7.8
160,18.4,0,0,1,1,1,1,0,20,8.9
161,9.3,1,0,0,1,1,1,0,22,7.7
162,9.6,0,0,1,0,1,0,0,9,9.1
163,40.1,1,1,0,0,0,0,0,9,9.8
164,28.5,1,0,1,0,0,1,0,13,9.5
165,22.3,1,1,1,0,0,1,0,17,9.2
166,43.2,2,2,1,1,2,1,0,44,9.0
167,40.1,2,1,2,0,0,0,0,20,9.5
168,11.9,0,0,0,1,1,0,0,12,9.0
169,9.3,0,1,0,1,1,0,0,16,8.3
170,36.3,1,2,0,1,0,1,0,24,9.3
171,44.9,2,1,2,0,2,0,0,32,9.3
172,43.9,0,1,1,0,2,0,0,19,9.6
173,13.3,1,0,0,0,1,1,0,16,8.8
174,20.8,1,0,1,0,1,0,0,14,9.3
175,38.3,0,1,1,2,1,2,0,35,9.1
176,21.5,0,0,1,0,1,1,0,14,9.4
177,13.3,1,1,0,1,1,1,0,26,8.1
178,9.0,0,0,0,1,1,1,0,17,8.1
179,29.0,1,1,0,0,0,1,0,14,9.5
180,10.7,1,1,0,0,0,0,0,9,9.2
181,30.1,1,0,0,0,0,1,0,10,9.7
182,21.2,1,1,1,1,1,1,0,29,8.6
183,37.0,2,0,2,1,0,0,0,22,9.4
184,22.1,1,0,0,0,1,0,0,11,9.5
185,20.1,1,1,1,0,1,0,0,18,9.1
186,27.2,0,0,1,0,0,1,0,8,9.7
187,8.2,0,1,1,0,0,0,0,7,9.2
188,20.9,0,0,1,1,0,0,1,16,9.2
189,40.1,2,1,1,1,2,0,2,49,8.8
190,48.1,0,1,0,2,0,2,3,47,9.0
191,43.7,2,0,0,2,0,1,0,27,9.4
192,49.0,1,0,3,2,2,1,1,50,9.0
193,2.5,1,1,0,0,0,1,0,14,4.6
194,45.8,1,2,0,2,0,2,0,35,9.2
195,48.6,2,0,1,2,1,3,0,46,9.1
196,16.3,1,0,0,1,0,1,0,16,9.0
197,6.5,1,0,0,0,1,1,0,16,7.6
198,3.7,0,1,0,1,0,1,0,15,6.1
199,31.5,1,0,1,1,1,1,1,32,9.0
200,49.5,2,2,0,0,1,3,0,39,9.2
201,4.0,1,1,0,1,0,0,3,36,1.2
202,31.6,1,1,0,0,1,1,0,20,9.4
203,21.4,0,0,1,0,0,0,0,3,9.9
204,14.7,1,1,1,0,0,1,1,24,8.4
205,2.7,0,0,0,1,1,1,0,17,4.1
206,40.0,0,2,1,2,2,1,0,40,9.0
207,45.2,1,0,2,2,0,2,0,33,9.3
208,41.6,1,1,2,1,0,1,1,33,9.2
209,39.1,1,0,0,1,2,2,0,33,9.2
210,46.4,1,0,0,2,1,2,0,33,9.3
211,35.0,1,0,1,0,1,0,0,14,9.6
212,27.1,0,1,1,0,1,0,0,13,9.5
213,13.6,1,0,0,0,0,1,0,10,9.3
214,40.6,0,0,2,2,1,2,2,48,8.8
215,36.3,1,1,1,0,0,0,0,12,9.7
216,3.5,0,1,1,0,0,1,0,12,6.7
217,33.3,1,0,0,0,0,1,0,10,9.7
218,43.5,0,2,2,0,0,2,0,24,9.4
219,46.5,2,2,1,2,0,2,0,43,9.1
220,23.5,0,0,1,1,1,0,0,15,9.4
221,45.5,1,1,1,0,0,2,0,22,9.5
222,4.7,0,0,0,0,1,0,0,6,8.8
223,0.9,0,0,1,1,0,1,0,14,1.0
224,48.2,2,3,3,2,1,0,0,49,9.0
225,46.9,1,2,0,1,0,1,0,24,9.5
226,3.4,1,0,1,1,1,1,0,25,2.9
227,22.6,0,0,1,0,1,0,0,9,9.6
228,16.5,0,1,0,0,1,0,0,10,9.4
229,14.0,0,1,0,0,0,0,0,4,9.7
230,39.8,0,2,1,2,1,1,0,34,9.1
231,43.5,1,0,0,2,0,2,0,27,9.4
232,38.1,0,2,2,0,1,1,0,25,9.3
233,11.0,1,0,0,1,1,1,0,22,8.0
234,23.9,1,1,1,0,0,0,0,12,9.5
235,38.7,1,1,2,2,0,0,0,27,9.3
236,48.4,3,1,2,0,1,1,0,36,9.3
237,30.6,1,1,0,1,1,0,0,21,9.3
238,32.8,0,0,1,1,1,0,0,15,9.5
239,7.9,0,1,1,1,1,1,0,24,7.0
240,36.2,2,0,0,0,1,0,1,23,9.4
241,37.6,0,0,0,1,2,1,0,23,9.4
242,35.3,1,1,1,1,1,0,0,24,9.3
243,4.8,0,1,0,0,1,1,0,15,7.0
244,7.1,0,1,1,1,1,0,0,19,7.4
245,8.8,0,1,0,0,0,0,1,11,8.8
246,31.0,0,1,0,1,1,1,0,21,9.3
247,31.5,1,1,0,0,0,0,0,9,9.7
248,27.9,1,1,1,1,0,0,3,39,8.6
249,36.7,2,1,1,2,0,0,0,29,9.2
250,11.4,0,1,1,0,1,0,0,13,8.9
251,33.1,0,1,1,1,1,0,0,19,9.4
252,49.8,0,2,2,3,1,2,0,48,9.0
253,4.1,0,0,0,0,1,0,0,6,8.6
254,36.5,0,0,1,1,0,2,0,19,9.5
255,22.2,0,1,1,1,1,0,0,19,9.2
256,21.4,1,0,0,1,1,0,0,17,9.2
257,31.3,1,0,0,0,0,1,0,10,9.7
258,45.5,2,1,1,1,1,2,0,39,9.1
259,3.9,0,1,1,1,0,0,0,13,6.8
260,29.2,1,1,0,1,0,0,0,15,9.5
261,20.3,0,0,0,0,0,1,0,5,9.8
262,20.1,0,0,0,0,1,0,0,6,9.7
263,16.9,0,1,1,1,0,0,0,13,9.2
264,29.6,1,0,0,1,1,1,0,22,9.3
265,30.5,0,0,1,0,0,0,0,3,9.9
266,22.6,0,0,1,1,0,0,1,16,9.3
267,3.3,0,0,1,1,0,0,0,9,7.4
268,22.9,0,0,0,0,0,0,1,7,9.7
269,20.2,1,1,0,0,1,1,0,20,9.0
270,48.7,2,2,3,2,2,1,0,56,8.9
271,26.8,0,1,1,0,1,1,0,18,9.3
272,36.8,1,0,0,2,0,1,0,22,9.4
273,9.3,1,0,0,0,1,0,0,11,8.8
274,25.1,0,1,1,0,1,0,3,34,8.7
275,39.9,0,0,2,2,1,0,0,24,9.4
276,29.1,1,1,1,1,1,1,0,29,9.0
277,43.4,0,0,0,0,0,2,0,10,9.8
278,44.0,0,1,1,1,2,1,0,30,9.3
279,44.0,2,2,0,2,0,1,0,35,9.2
280,0.8,0,0,1,1,0,0,0,9,1.0
281,19.7,0,0,0,1,0,0,0,6,9.7
282,4.1,0,1,1,1,1,1,0,24,4.4
283,19.3,1,1,1,1,1,1,1,36,8.1
284,5.9,0,1,1,0,0,1,0,12,8.0
285,20.0,0,1,1,1,1,0,0,19,9.1
286,41.2,2,2,2,0,2,0,0,36,9.1
287,19.3,1,0,0,1,0,1,0,16,9.2
288,31.1,0,1,1,0,0,0,0,7,9.8
289,29.3,1,1,1,1,1,0,0,24,9.2
290,41.2,1,2,2,2,1,2,0,47,8.9
291,35.6,1,0,1,0,1,1,0,19,9.5
292,24.4,0,1,0,1,1,0,0,16,9.3
293,47.6,2,1,1,0,1,0,0,23,9.5
294,32.5,1,1,0,0,1,1,0,20,9.4
295,28.1,0,0,1,1,1,0,0,15,9.5
296,33.7,0,1,0,1,1,0,0,16,9.5
297,8.1,0,0,1,1,0,0,0,9,8.9
298,9.3,0,0,0,1,0,1,0,11,8.8
299,13.2,0,0,0,1,0,1,0,11,9.2
300,30.1,1,0,1,1,0,0,0,14,9.5
301,1.3,1,1,1,0,1,1,0,23,1.0
302,45.3,0,1,0,0,2,0,0,16,9.6
303,11.7,0,0,1,0,0,1,0,8,9.3
304,4.0,1,0,1,1,1,1,0,25,3.9
305,11.9,1,0,1,1,1,0,0,20,8.3
306,18.5,0,1,0,1,1,1,0,21,8.9
307,4.9,0,0,0,0,0,0,0,0,10.0
308,20.8,1,0,0,1,1,0,0,17,9.2
309,49.1,2,3,1,0,2,3,0,52,8.9
310,1.5,1,1,1,1,0,0,0,18,1.0
311,5.1,1,1,1,0,1,0,0,18,6.6
312,25.6,1,1,0,1,1,0,0,21,9.2
313,17.4,0,0,1,0,0,0,0,3,9.8
314,41.4,1,2,1,1,2,1,0,39,9.1
315,25.1,1,1,0,1,1,1,0,26,9.0
316,6.3,1,0,0,1,1,1,0,22,6.6
317,40.4,2,1,0,2,0,2,0,36,9.1
318,34.9,1,1,1,1,1,1,0,29,9.2
319,7.1,1,0,1,0,1,0,0,14,8.1
320,38.4,0,2,2,0,1,0,0,20,9.5
321,6.5,0,1,1,0,0,1,3,33,5.1
322,48.3,3,3,0,2,1,3,0,60,8.8
323,5.7,1,1,0,0,1,1,0,20,6.6
324,8.0,0,0,0,1,1,0,2,26,6.8
325,37.8,2,2,0,2,2,0,0,42,8.9
326,6.5,1,1,0,0,1,1,3,41,3.8
327,31.8,1,0,0,0,1,1,0,16,9.5
328,33.0,1,0,1,0,0,1,0,13,9.6
329,32.9,0,0,0,1,1,1,0,17,9.5
330,19.7,0,1,0,1,1,0,0,16,9.2
331,39.6,0,1,2,1,2,0,0,28,9.3
332,1.1,1,0,0,0,1,0,0,11,1.1
333,24.6,0,0,1,0,0,0,0,3,9.9
334,5.4,1,1,1,1,1,1,0,29,4.7
335,24.1,0,0,1,0,1,1,0,14,9.4
336,44.7,0,0,0,0,0,1,0,5,9.9
337,13.1,1,1,1,1,1,1,0,29,7.8
338,32.0,1,1,0,1,1,0,0,21,9.3
339,3.8,1,0,0,0,1,1,0,16,5.9
340,34.2,0,1,0,0,0,0,3,25,9.3
341,5.7,0,0,1,0,1,1,0,14,7.6
342,49.6,3,2,2,2,2,3,0,68,8.6
343,20.9,0,1,1,1,1,1,0,24,8.9
344,4.6,1,1,0,0,1,1,0,20,5.8
345,48.8,2,1,2,0,3,1,0,43,9.1
346,3.9,0,1,0,1,0,1,0,15,6.3
347,6.7,0,1,1,1,0,0,0,13,8.1
348,26.3,1,1,1,0,1,0,0,18,9.3
349,30.1,0,0,1,0,1,1,0,14,9.5
350,8.6,1,1,1,0,1,1,0,23,7.4
351,1.1,0,0,1,1,1,0,0,15,1.0
352,13.3,0,1,0,0,1,0,0,10,9.3
353,37.5,1,2,2,2,1,1,0,42,8.9
354,46.9,0,0,1,1,0,0,0,9,9.8
355,41.0,2,2,2,2,0,1,0,41,9.0
356,29.7,1,0,0,1,0,0,0,11,9.6
357,43.7,2,0,0,2,1,1,0,33,9.2
358,37.2,2,0,2,1,1,2,0,38,9.0
359,37.2,1,2,2,2,1,0,0,37,9.0
360,27.2,1,1,1,1,1,1,0,29,8.9
361,1.0,0,1,0,0,1,0,0,10,1.6
362,42.2,1,2,0,1,2,0,0,31,9.3
363,39.1,1,2,1,0,1,0,2,36,9.1
364,0.7,1,1,1,1,0,0,2,32,1.0
365,43.8,0,1,2,0,1,2,0,26,9.4
366,3.1,1,1,1,1,0,0,2,32,1.0
367,25.2,1,0,1,1,0,1,0,19,9.2
368,35.5,0,1,1,0,1,0,0,13,9.6
369,16.7,0,0,1,0,1,0,0,9,9.5
370,36.9,2,0,1,0,0,0,0,13,9.6
371,25.1,0,0,0,1,0,1,0,11,9.6
372,37.1,1,0,0,0,1,1,0,16,9.6
373,35.2,1,1,1,0,1,0,0,18,9.5
374,39.2,2,1,2,1,1,2,0,42,8.9
375,23.4,1,0,0,1,1,0,0,17,9.3
376,31.7,1,0,0,1,0,0,0,11,9.7
377,0.8,0,1,1,1,1,1,0,24,1.0
378,46.2,0,0,1,1,1,1,0,20,9.6
379,12.7,1,1,1,1,1,1,0,29,7.7
380,22.8,0,1,1,0,0,1,3,33,8.6
381,31.2,0,0,0,1,1,0,0,12,9.6
382,4.8,0,1,1,1,0,1,0,18,6.3
383,44.2,0,1,1,1,0,0,0,13,9.7
384,13.2,0,0,1,0,1,0,0,9,9.3
385,48.6,3,3,0,0,0,0,0,27,9.4
386,11.7,1,0,0,1,0,0,0,11,9.1
387,6.2,1,1,1,0,0,0,0,12,8.1
388,27.4,1,1,1,1,0,1,0,23,9.2
389,47.3,0,1,1,1,2,0,0,25,9.5
390,14.9,0,1,1,1,0,1,0,18,8.8
391,39.8,0,2,0,1,2,1,0,31,9.2
392,1.4,1,0,0,1,1,1,0,22,1.0
393,47.4,1,1,0,2,1,0,2,41,9.1
394,45.5,0,1,2,1,2,2,0,38,9.2
395,19.3,0,0,0,0,1,1,0,11,9.4
396,14.7,1,0,1,0,0,1,0,13,9.1
397,20.1,1,1,1,1,1,1,0,29,8.6
398,39.8,2,2,0,2,2,1,0,47,8.8
399,25.6,1,0,0,1,1,0,0,17,9.3
400,41.1,0,1,1,1,1,2,0,29,9.3
401,40.3,1,2,0,2,0,2,0,35,9.1
402,36.4,1,1,1,2,2,2,0,46,8.7
403,34.5,0,0,1,0,1,1,0,14,9.6
404,19.3,0,0,1,0,0,1,0,8,9.6
405,6.0,1,1,0,0,1,0,0,15,7.6
406,16.0,1,1,1,0,1,1,0,23,8.6
407,12.6,1,1,1,1,0,0,0,18,8.6
408,45.3,2,2,1,1,2,0,0,39,9.1
409,29.1,0,0,1,0,1,0,0,9,9.7
410,2.0,0,1,1,1,0,1,2,32,1.0
411,9.2,0,1,1,0,1,0,0,13,8.6
412,32.3,1,1,0,0,1,0,0,15,9.5
413,2.1,0,0,1,1,1,1,0,20,1.3
414,38.4,2,0,2,1,2,0,0,34,9.1
415,0.5,0,0,1,1,1,1,0,20,1.0
416,19.4,1,0,0,1,0,1,0,16,9.2
417,1.4,1,1,1,1,1,0,0,24,1.0
418,35.5,1,0,0,1,0,0,0,11,9.7
419,49.1,1,2,0,2,3,2,0,53,8.9
420,31.9,1,1,1,1,0,0,0,18,9.4
421,12.5,1,0,1,1,0,1,0,19,8.5
422,15.2,0,1,1,0,1,0,0,13,9.2
423,42.7,0,0,1,1,0,2,0,19,9.6
424,26.8,1,0,1,1,1,0,0,20,9.3
425,39.6,0,2,0,0,0,2,0,18,9.5
426,37.0,0,0,0,2,0,1,0,17,9.5
427,28.8,0,0,0,1,1,1,0,17,9.4
428,38.8,0,2,1,0,1,0,0,17,9.6
429,29.8,0,0,1,0,0,1,0,8,9.7
430,19.5,0,0,1,1,1,1,0,20,9.0
431,37.3,0,2,1,1,1,0,0,23,9.4
432,23.9,1,0,1,0,1,1,0,19,9.2
433,16.9,0,0,1,1,0,1,0,14,9.2
434,10.7,0,0,1,0,1,0,0,9,9.2
435,2.3,1,0,1,0,0,0,0,8,6.7
436,25.9,0,1,1,0,0,1,0,12,9.5
437,41.0,0,2,2,2,2,0,3,59,8.6
438,35.3,0,0,0,0,1,0,0,6,9.8
439,21.4,1,1,1,0,0,0,0,12,9.4
440,15.8,0,1,0,1,1,0,2,30,8.1
441,0.6,1,0,0,0,0,0,0,5,3.3
442,13.2,1,1,0,0,1,1,2,34,7.5
443,21.2,1,0,0,1,1,0,0,17,9.2
444,47.1,2,0,0,1,1,2,0,32,9.3
445,1.0,1,0,1,0,0,0,0,8,3.0
446,36.3,2,0,1,0,1,2,0,29,9.2
447,7.5,0,0,1,1,0,0,0,9,8.8
448,29.1,1,0,0,1,0,0,0,11,9.6
449,36.6,0,1,0,1,2,1,0,27,9.3
450,4.3,0,0,1,1,1,1,0,20,5.5
451,19.5,0,1,1,0,0,0,2,21,8.9
452,29.3,1,0,0,1,1,1,0,22,9.3
453,19.0,1,1,0,0,1,0,0,15,9.2
454,17.6,1,0,0,1,1,1,0,22,8.8
455,17.4,0,0,1,0,0,0,0,3,9.8
456,30.5,1,1,1,1,1,1,0,29,9.1
457,34.6,0,1,0,1,1,1,0,21,9.4
458,48.2,3,1,2,1,1,2,0,47,9.0
459,8.4,1,1,0,0,0,0,0,9,8.9
460,45.1,0,0,1,0,2,2,0,25,9.4
461,49.7,0,0,0,0,2,2,0,22,9.6
462,2.0,1,1,1,1,0,0,0,18,1.7
463,26.8,0,1,0,0,0,0,0,4,9.9
464,41.4,0,2,1,0,0,1,0,16,9.6
465,12.1,0,0,1,0,0,1,0,8,9.3
466,50.0,0,2,1,2,3,2,0,51,9.0
467,36.9,1,1,0,1,2,0,0,27,9.3
468,7.8,0,0,0,1,1,0,0,12,8.5
469,29.9,1,0,1,0,0,1,1,20,9.3
470,39.6,0,0,0,1,1,1,0,17,9.6
471,23.4,1,1,1,1,1,1,0,29,8.8
472,19.1,1,0,0,1,1,0,0,17,9.1
473,25.8,0,0,1,0,0,0,0,3,9.9
474,20.7,0,0,0,0,1,0,0,6,9.7
475,10.4,0,1,1,0,0,0,0,7,9.3
476,44.7,2,2,1,2,2,0,0,45,9.0
477,31.5,0,0,1,1,1,1,0,20,9.4
478,36.3,1,1,1,1,0,1,0,23,9.4
479,36.8,1,0,1,2,2,2,0,42,8.9
480,49.7,3,2,1,2,2,0,0,50,9.0
481,31.8,0,0,0,1,1,0,0,12,9.6
482,40.6,0,2,1,2,2,0,0,35,9.1
483,14.4,1,1,0,1,0,0,0,15,9.0
484,31.8,0,0,1,1,0,0,0,9,9.7
485,43.5,1,0,2,1,1,1,1,35,9.2
486,35.7,1,0,0,1,1,0,0,17,9.5
487,15.0,1,1,0,0,1,0,0,15,9.0
488,42.2,0,0,1,0,0,0,0,3,9.9
489,21.1,0,1,0,0,0,0,0,4,9.8
490,23.0,1,1,1,1,1,1,0,29,8.7
491,23.4,1,1,0,1,0,1,0,20,9.2
492,6.4,0,0,1,1,1,0,0,15,7.7
493,44.2,1,2,2,0,0,2,0,29,9.3
494,9.9,0,1,1,1,1,1,0,24,7.6
495,29.4,1,0,1,0,1,0,3,35,8.8
496,5.5,0,0,0,0,0,1,0,5,9.1
497,39.6,2,2,0,2,0,1,0,35,9.1
498,48.2,0,0,1,2,1,0,0,21,9.6
499,31.8,1,0,1,0,0,0,0,8,9.7
500,33.5,0,1,1,0,0,1,0,12,9.6
501,15.3,0,1,0,0,1,0,0,10,9.4
502,25.2,0,1,1,0,0,0,0,7,9.7
503,31.9,0,1,0,1,0,0,0,10,9.7
504,27.8,1,0,1,1,0,0,0,14,9.5
505,36.7,1,0,0,2,0,0,0,17,9.5
506,7.3,0,1,1,0,1,1,0,18,7.6
507,20.1,1,1,1,0,1,0,0,18,9.1
508,18.7,0,0,1,1,1,0,0,15,9.2
509,41.9,1,0,0,1,1,1,0,22,9.5
510,47.5,2,0,2,2,1,0,0,34,9.3
511,13.7,0,0,0,1,1,1,0,17,8.8
512,38.2,2,2,0,1,2,1,2,55,8.6
513,19.4,0,1,0,1,0,1,0,15,9.2
514,17.4,0,1,0,1,0,1,0,15,9.1
515,28.6,0,1,0,0,1,0,0,10,9.7
516,27.6,1,0,0,0,1,1,0,16,9.4
517,8.0,1,0,0,0,0,1,0,10,8.8
518,23.9,1,0,1,1,1,1,0,25,9.0
519,12.3,1,1,1,1,0,0,0,18,8.6
520,39.0,0,2,1,2,1,0,0,29,9.3
521,39.2,0,2,2,0,0,2,0,24,9.4
522,32.3,0,0,0,1,1,1,0,17,9.5
523,27.2,0,0,1,1,1,0,0,15,9.5
524,25.1,0,0,1,1,0,1,0,14,9.4
525,38.2,0,1,0,1,0,1,0,15,9.6
526,40.4,1,1,1,1,0,2,1,35,9.1
527,43.3,0,2,0,0,2,0,0,20,9.5
528,19.9,1,1,0,1,1,0,0,21,9.0
529,20.6,0,1,1,0,1,0,0,13,9.4
530,46.0,2,2,1,1,1,1,3,59,8.7
531,39.7,2,0,1,0,2,2,0,35,9.1
532,48.9,2,3,0,1,3,1,0,51,9.0
533,12.7,0,0,0,0,0,1,0,5,9.6
