time,latitude,longitude,speed,speed_limit,acceleration,heading,yaw_rate,steering_angle,jerk,traffic_condition,road_condition,road_type,time_of_day,sudden_brake,sudden_acceleration,sudden_stop,sudden_turn,tight_turn,speeding,anomaly_explanation
41,43.20695,76.91259,32.62,40,5.21,300.58,25.0,17.6,3.81,0,0,1,2,0,1,0,0,0,0,Sudden acceleration with acceleration 5.21 m/s² (above +2 threshold)
42,43.20703,76.91247,42.54,40,-1.45,303.69,2.47,2.46,-0.63,2,0,1,2,0,0,0,0,0,0,
43,43.20739,76.91192,29.14,40,2.0,303.21,0.28,0.22,1.0,2,0,1,2,0,0,0,0,0,0,
44,43.20765,76.91143,67.58,100,2.0,297.95,0.79,0.39,0.0,1,0,0,0,0,0,0,0,0,0,
45,43.2081,76.91054,52.87,100,-3.0,296.82,0.2,0.1,-1.0,0,3,0,3,0,0,0,0,0,0,
46,43.20818,76.91039,40.26,100,-3.0,298.07,0.28,0.16,0.0,1,3,0,0,0,0,0,0,0,0,
47,43.20875,76.90931,21.55,60,2.0,297.82,0.24,0.23,1.0,0,3,2,3,0,0,0,0,0,0,
48,43.20889,76.90912,45.11,60,-6.87,306.38,4.44,2.42,-2.57,0,2,2,2,1,0,0,0,0,0,Sudden brake with acceleration -6.87 m/s² (below -6 threshold)
49,43.20944,76.90861,26.14,40,2.0,317.16,5.18,3.33,0.0,0,0,1,1,0,0,0,0,0,0,
50,43.20962,76.90844,63.38,100,-3.0,343.54,37.75,30.2,-1.0,0,2,0,1,0,0,0,1,0,0,Sudden turn with yaw rate 37.75 deg/s (above 25 threshold) at speed 63.38 km/h
51,43.20977,76.90841,27.01,40,2.0,348.69,20.03,16.24,1.0,0,1,1,3,0,0,0,0,0,0,
52,43.21003,76.90835,83.62,100,0.52,347.01,0.25,0.13,-1.0,0,0,0,3,0,0,0,0,0,0,
53,43.2107,76.90822,28.24,60,-1.84,7.18,32.76,26.21,-1.0,0,2,2,0,0,0,0,1,0,0,Sudden turn with yaw rate 32.76 deg/s (above 25 threshold) at speed 28.24 km/h
54,43.21079,76.90821,79.21,100,2.0,353.66,0.7,0.35,1.0,0,0,0,3,0,0,0,0,0,0,
55,43.21079,76.90821,33.87,60,-3.78,50.06,54.77,36.67,-1.0,1,0,2,1,0,0,0,0,1,0,Tight turn with steering angle 36.67 deg (above 35 threshold) and yaw rate 54.77 deg/s
56,43.21078,76.90804,24.46,40,-3.0,266.63,25.0,21.76,0.0,1,0,1,3,0,0,0,0,0,0,
57,43.21071,76.90686,29.02,40,2.0,266.61,0.02,0.01,1.0,0,0,1,3,0,0,0,0,0,0,
58,43.21064,76.90658,31.81,40,2.0,255.96,5.78,4.15,0.0,0,0,1,2,0,0,0,0,0,0,
59,43.21055,76.90633,92.67,100,1.81,250.2,0.86,0.43,-0.19,0,0,0,1,0,0,0,0,0,0,
60,43.21045,76.90544,36.16,60,-3.0,263.59,8.46,5.5,-1.0,0,2,2,2,0,0,0,0,0,0,
61,43.21045,76.90538,36.81,40,2.0,270.0,3.07,1.97,1.0,0,0,1,3,0,0,0,0,0,0,
62,43.21028,76.90352,80.76,100,0.13,264.78,0.78,0.39,-1.0,1,0,0,3,0,0,0,0,0,0,
63,43.21026,76.90334,37.11,40,-3.0,263.66,0.53,0.34,-1.0,0,0,1,2,0,0,0,0,0,0,
64,43.21026,76.90334,54.69,100,-3.0,0.0,25.0,12.5,0.0,2,2,0,2,0,0,0,0,0,0,
65,43.21039,76.90332,78.39,40,2.0,351.25,25.0,21.92,1.0,0,3,1,2,0,0,0,0,0,0,
66,43.21313,76.90296,0.0,100,-7.32,352.51,0.19,0.09,-2.64,1,0,0,1,0,0,1,0,0,0,Sudden stop with speed drop of 78.4 km/h and hard braking (-7.32 m/s²)
67,43.21322,76.90296,42.79,60,3.59,0.0,25.0,14.21,2.82,1,0,2,1,0,1,0,0,0,0,Sudden acceleration with acceleration 3.59 m/s² (above +2 threshold)
68,43.21451,76.9028,57.3,100,-3.0,352.93,25.0,12.5,0.0,2,0,0,2,0,0,0,0,0,0,
69,43.21457,76.9028,23.84,40,2.0,0.0,25.0,22.17,1.0,0,1,1,2,0,0,0,0,0,0,
70,43.21477,76.90277,100.27,100,2.0,351.47,25.0,12.5,0.0,0,0,0,1,0,0,0,0,0,0,
71,43.21485,76.90276,32.92,40,-3.0,352.87,0.74,0.52,-1.0,0,0,1,0,0,0,0,0,0,0,
72,43.21631,76.90259,28.29,40,-2.22,353.36,0.29,0.23,0.78,0,0,1,2,0,0,0,0,0,0,
73,43.21637,76.90258,27.6,40,2.0,350.54,1.73,1.38,1.0,0,1,1,3,0,0,0,0,0,0,
74,43.21689,76.90251,40.0,100,-3.44,33.22,58.37,47.56,0.0,2,0,0,1,0,0,0,0,1,0,Tight turn with steering angle 47.56 deg (above 35 threshold) and yaw rate 58.37 deg/s
75,43.21746,76.90243,33.61,40,-3.0,352.01,0.17,0.11,-1.0,0,0,1,3,0,0,0,0,0,0,
76,43.21804,76.90234,53.41,100,-3.0,351.18,0.14,0.07,0.0,2,0,0,3,0,0,0,0,0,0,
77,43.21879,76.90216,25.28,40,-3.0,346.5,3.09,2.63,0.0,0,1,1,3,0,0,0,0,0,0,
78,43.21893,76.90206,29.48,40,2.0,324.46,12.79,9.72,1.0,1,1,1,1,0,0,0,0,0,0,
79,43.21896,76.90206,36.41,60,2.0,0.0,25.0,16.16,0.0,1,1,2,0,0,0,0,0,0,0,
80,43.219,76.90205,68.0,100,-1.55,345.96,25.0,12.5,-1.0,2,0,0,2,0,0,0,0,0,0,
81,43.21904,76.90205,32.68,40,1.52,0.0,25.0,17.57,1.0,1,0,1,2,0,0,0,0,0,0,
82,43.21914,76.90203,71.65,100,-2.61,348.69,25.0,12.5,-1.0,0,0,0,2,0,0,0,0,0,0,
83,43.21924,76.90202,26.42,40,-3.0,10.66,37.89,31.21,-0.39,0,0,1,0,0,0,0,1,0,0,Sudden turn with yaw rate 37.89 deg/s (above 25 threshold) at speed 26.42 km/h
84,43.21942,76.90199,43.98,100,2.0,350.54,0.77,0.43,1.0,0,3,0,3,0,0,0,0,0,0,
85,43.22023,76.90189,53.94,100,-3.0,352.96,0.41,0.21,-1.0,1,0,0,0,0,0,0,0,0,0,
86,43.22225,76.90162,19.97,40,2.0,352.39,0.46,0.46,1.0,1,0,1,1,0,0,0,0,0,0,
87,43.22233,76.90161,40.0,100,-1.94,48.13,52.91,49.96,0.0,0,2,0,1,0,0,0,0,1,0,Tight turn with steering angle 49.96 deg (above 35 threshold) and yaw rate 52.91 deg/s
88,43.22244,76.9016,79.05,100,-3.0,354.81,0.29,0.14,-1.0,0,0,0,1,0,0,0,0,0,0,
89,43.22307,76.90152,28.1,60,3.32,352.76,1.6,1.26,3.47,1,1,2,3,0,1,0,0,0,0,Sudden acceleration with acceleration 3.32 m/s² (above +2 threshold)
90,43.224,76.9014,53.89,40,2.0,352.65,0.05,0.02,1.0,0,0,1,3,0,0,0,0,0,0,
91,43.22426,76.90136,0.0,100,-7.22,351.25,0.24,0.12,-4.45,2,0,0,3,0,0,1,0,0,0,Sudden stop with speed drop of 53.9 km/h and hard braking (-7.22 m/s²)
92,43.22509,76.90124,98.15,100,-1.8,351.77,0.08,0.04,-1.0,0,0,0,1,0,0,0,0,0,0,
93,43.22525,76.90121,49.57,60,-3.0,349.38,1.14,0.57,-1.0,0,0,2,3,0,0,0,0,0,0,
94,43.2253,76.9012,13.98,40,-3.0,348.69,0.73,0.91,0.0,0,3,1,0,0,0,0,0,0,0,
95,43.22547,76.90118,24.76,40,2.0,353.29,3.09,2.67,1.0,1,0,1,3,0,0,0,0,0,0,
96,43.22547,76.90118,26.8,40,2.0,0.0,25.0,20.38,0.0,0,3,1,3,0,0,0,0,0,0,
97,43.22549,76.90137,39.67,100,2.0,83.99,18.8,11.36,0.0,1,3,0,3,0,0,0,0,0,0,
98,43.22551,76.90174,38.67,40,-5.82,86.91,1.33,0.82,-3.62,0,0,1,2,1,0,0,0,0,0,Sudden brake with acceleration -5.82 m/s² (below -6 threshold)
99,43.22555,76.90246,20.96,40,-3.0,86.82,0.05,0.04,0.0,0,0,1,0,0,0,0,0,0,0,
100,43.22559,76.90308,29.65,40,2.0,86.31,0.3,0.22,1.0,1,0,1,2,0,0,0,0,0,0,
101,43.22557,76.90343,52.59,60,-1.51,93.27,3.14,1.57,-1.0,0,0,2,2,0,0,0,0,0,0,
102,43.22558,76.90353,26.04,40,-3.0,84.29,5.79,4.82,-1.0,0,0,1,1,0,0,0,0,0,0,
103,43.22562,76.90417,39.74,60,2.0,86.42,1.24,0.75,1.0,0,1,2,3,0,0,0,0,0,0,
104,43.22563,76.90422,46.13,100,-3.0,78.69,1.51,0.81,-1.0,1,3,0,0,0,0,0,0,0,0,
105,43.22569,76.90454,27.26,40,-3.0,79.38,0.43,0.34,0.0,0,2,1,2,0,0,0,0,0,0,
106,43.22571,76.9047,31.48,40,2.0,82.87,1.92,1.39,1.0,0,0,1,2,0,0,0,0,0,0,
107,43.22575,76.90527,32.61,40,-0.7,85.99,1.65,1.16,-1.0,0,0,1,3,0,0,0,0,0,0,
108,43.22577,76.90549,29.8,60,-1.19,84.81,0.88,0.66,-0.5,2,0,2,0,0,0,0,0,0,0,
109,43.22577,76.90558,29.75,40,-3.0,90.0,2.99,2.26,-1.0,1,0,1,1,0,0,0,0,0,0,
110,43.22578,76.90571,14.95,40,2.0,85.6,4.41,5.3,1.0,0,3,1,1,0,0,0,0,0,0,
111,43.2258,76.90595,44.95,60,2.0,85.24,0.19,0.1,0.0,0,2,2,2,0,0,0,0,0,0,
112,43.22582,76.9061,77.77,100,2.0,82.41,0.42,0.21,0.0,0,0,0,0,0,0,0,0,0,0,
113,43.22591,76.90745,55.99,60,5.62,86.19,1.61,0.81,2.55,0,0,2,3,0,1,0,0,0,0,Sudden acceleration with acceleration 5.62 m/s² (above +2 threshold)
114,43.22596,76.90811,69.2,40,2.0,85.67,0.32,0.26,1.0,0,0,1,3,0,0,0,0,0,0,
115,43.22596,76.90811,73.9,100,2.0,0.0,12.85,6.43,0.0,0,0,0,0,0,0,0,0,0,0,
116,43.22581,76.90813,46.88,100,-0.02,172.41,25.0,13.19,-1.0,0,3,0,3,0,0,0,0,0,0,
117,43.22576,76.90813,73.86,100,-3.0,180.0,1.14,0.57,-1.0,0,0,0,3,0,0,0,0,0,0,
118,43.22574,76.90814,25.4,40,4.65,153.43,17.48,14.81,3.39,0,2,1,3,0,1,0,0,0,0,Sudden acceleration with acceleration 4.65 m/s² (above +2 threshold)
119,43.22574,76.90814,33.13,40,2.0,0.0,25.0,22.72,1.0,2,0,1,3,0,0,0,0,0,0,
120,43.22571,76.90811,31.69,40,2.0,225.0,25.0,17.99,0.0,0,0,1,0,0,0,0,0,0,0,
121,43.22571,76.90811,71.45,100,-1.33,0.0,25.0,12.5,-1.0,0,0,0,3,0,0,0,0,0,0,
122,43.22571,76.90805,28.5,60,-3.0,270.0,25.0,19.48,-1.0,1,1,2,0,0,0,0,0,0,0,
123,43.22571,76.90805,31.59,60,2.0,0.0,25.0,18.03,1.0,1,1,2,1,0,0,0,0,0,0,
124,43.22561,76.90806,50.46,60,2.0,174.29,25.0,12.5,0.0,2,0,2,2,0,0,0,0,0,0,
125,43.22561,76.90806,68.18,100,2.0,0.0,25.0,12.5,0.0,1,1,0,3,0,0,0,0,0,0,
126,43.22203,76.87302,69.98,100,-3.0,264.17,25.0,12.5,-1.0,1,0,0,1,0,0,0,0,0,0,
127,43.22143,76.87218,37.22,40,-3.0,234.46,14.07,8.94,0.0,0,0,1,0,0,0,0,0,0,0,
128,43.22065,76.87107,57.11,100,-3.0,234.9,0.07,0.04,0.0,0,1,0,0,0,0,0,0,0,0,
129,43.22065,76.87107,25.06,40,-3.0,0.0,25.0,21.39,0.0,0,0,1,1,0,0,0,0,0,0,
130,43.22042,76.8714,15.32,40,-1.52,124.88,25.0,29.62,1.0,0,3,1,3,0,0,0,0,0,0,
131,43.21976,76.8723,21.41,60,2.0,126.25,1.36,1.3,1.0,2,2,2,0,0,0,0,0,0,0,
132,43.21956,76.87259,62.44,100,2.0,124.59,0.25,0.12,0.0,1,0,0,2,0,0,0,0,0,0,
133,43.21872,76.87377,47.6,100,-3.0,125.45,0.16,0.08,-1.0,2,0,0,3,0,0,0,0,0,0,
134,43.2186,76.87395,21.36,40,-3.0,123.69,1.33,1.27,0.0,1,0,1,0,0,0,0,0,0,0,
135,43.21851,76.87407,21.47,40,2.0,126.87,2.4,2.29,1.0,1,1,1,3,0,0,0,0,0,0,
136,43.21799,76.87483,26.54,40,2.0,124.38,1.58,1.3,0.0,1,0,1,1,0,0,0,0,0,0,
137,43.21767,76.87525,36.41,40,2.0,127.3,1.41,0.91,0.0,2,0,1,1,0,0,0,0,0,0,
138,43.21759,76.87535,31.88,40,1.5,128.66,0.74,0.53,-0.5,0,0,1,2,0,0,0,0,0,0,
139,43.2173,76.87575,40.02,40,2.0,125.94,1.21,0.72,0.5,0,0,1,1,0,0,0,0,0,0,
140,43.21715,76.87594,38.01,60,-0.84,128.29,1.42,0.89,-1.0,0,0,2,3,0,0,0,0,0,0,
141,43.21715,76.87594,38.01,100,-2.75,0.0,25.0,15.62,-1.0,2,2,0,3,0,0,0,0,0,0,
142,43.21752,76.87642,21.99,40,-2.37,30.01,54.35,49.89,-0.25,0,1,1,1,0,0,0,0,1,0,Tight turn with steering angle 49.89 deg (above 35 threshold) and yaw rate 54.35 deg/s
143,43.21763,76.87654,28.02,40,-3.0,47.49,2.96,2.33,0.0,0,2,1,1,0,0,0,0,0,0,
144,43.21779,76.87677,9.85,60,2.0,55.18,13.46,20.34,1.0,2,3,2,1,0,0,0,0,0,0,
145,43.21804,76.87713,53.5,60,2.0,55.22,0.02,0.01,0.0,0,0,2,1,0,0,0,0,0,0,
146,43.21865,76.87808,40.05,60,3.8,57.3,1.2,0.72,3.76,1,0,2,2,0,1,0,0,0,0,Sudden acceleration with acceleration 3.8 m/s² (above +2 threshold)
147,43.21897,76.87859,54.92,40,2.0,57.89,0.38,0.31,1.0,0,1,1,3,0,0,0,0,0,0,
148,43.21953,76.87949,59.36,100,2.0,58.11,0.03,0.02,0.0,2,0,0,2,0,0,0,0,0,0,
149,43.21998,76.88019,56.56,100,0.31,57.26,0.14,0.07,-1.0,1,1,0,0,0,0,0,0,0,0,
150,43.22011,76.8804,60.09,100,-3.0,58.24,0.15,0.07,-1.0,1,0,0,0,0,0,0,0,0,0,
151,43.22023,76.88058,31.14,60,2.0,56.31,1.39,1.01,1.0,1,3,2,2,0,0,0,0,0,0,
152,43.22051,76.88105,71.27,100,2.0,59.22,0.44,0.22,0.0,0,1,0,1,0,0,0,0,0,0,
153,43.22072,76.88141,76.99,100,-0.18,59.74,0.08,0.04,-1.0,0,1,0,3,0,0,0,0,0,0,
154,43.22101,76.88191,70.84,100,-3.0,59.89,0.02,0.01,-1.0,1,0,0,1,0,0,0,0,0,0,
155,43.22123,76.88228,49.26,100,-3.0,59.26,0.11,0.06,0.0,1,2,0,3,0,0,0,0,0,0,
156,43.22124,76.88231,34.37,40,-3.0,71.57,6.25,4.23,0.0,0,1,1,0,0,0,0,0,0,0,
157,43.22131,76.88255,41.72,40,-6.42,73.74,0.93,0.54,-2.75,0,0,1,2,1,0,0,0,0,0,Sudden brake with acceleration -6.42 m/s² (below -6 threshold)
158,43.22144,76.88278,27.51,60,2.0,60.52,8.38,5.47,1.0,0,1,2,1,0,0,0,0,0,0,
159,43.22146,76.88282,54.81,100,2.0,63.43,0.49,0.24,0.0,2,0,0,3,0,0,0,0,0,0,
160,43.2216,76.88298,74.52,100,-3.0,48.81,2.19,1.1,-1.0,0,0,0,0,0,0,0,0,0,0,
161,43.22172,76.8832,30.3,40,-3.0,61.39,7.13,5.3,0.0,1,0,1,3,0,0,0,0,0,0,
162,43.22214,76.88398,55.35,100,2.0,61.7,0.05,0.03,1.0,0,3,0,1,0,0,0,0,0,0,
163,43.22214,76.88398,66.8,100,-3.0,0.0,9.25,4.63,-1.0,1,0,0,2,0,0,0,0,0,0,
164,43.22202,76.88404,28.92,40,-3.0,153.43,25.0,19.27,0.0,2,0,1,3,0,0,0,0,0,0,
165,43.22167,76.88418,15.96,40,-1.37,208.79,59.44,47.74,1.0,1,0,1,2,0,0,0,0,1,0,Tight turn with steering angle 47.74 deg (above 35 threshold) and yaw rate 59.44 deg/s
166,43.21967,76.88492,44.74,40,2.0,173.6,42.39,33.92,0.0,0,0,1,2,0,0,0,1,0,0,Sudden turn with yaw rate 42.39 deg/s (above 25 threshold) at speed 44.74 km/h
167,43.21953,76.88507,75.72,100,2.0,133.03,4.0,2.0,0.0,0,0,0,3,0,0,0,0,0,0,
168,43.21827,76.88676,64.87,100,-3.0,126.71,0.95,0.47,-1.0,1,2,0,3,0,0,0,0,0,0,
169,43.21816,76.88689,33.15,40,-3.0,130.24,1.85,1.29,0.0,0,0,1,3,0,0,0,0,0,0,
170,43.2181,76.88697,55.98,100,-0.16,126.87,0.55,0.28,1.0,0,2,0,0,0,0,0,0,0,0,
171,43.21787,76.88726,32.76,60,0.93,128.42,1.07,0.75,1.0,1,0,2,1,0,0,0,0,0,0,
172,43.21761,76.88758,58.22,100,0.99,129.09,0.11,0.05,0.06,1,0,0,3,0,0,0,0,0,0,
173,43.21745,76.88759,24.6,40,-2.57,173.7,51.13,46.75,-1.0,1,0,1,3,0,0,0,0,1,0,Tight turn with steering angle 46.75 deg (above 35 threshold) and yaw rate 51.13 deg/s
174,43.21684,76.88768,25.28,40,-3.0,171.61,3.18,2.71,0.0,2,0,1,3,0,0,0,0,0,0,
175,43.21681,76.88769,27.18,40,-3.0,161.57,6.24,5.04,0.0,1,0,1,0,0,0,0,0,0,0,
176,43.21675,76.8877,16.23,40,2.0,170.54,8.45,9.67,1.0,2,2,1,2,0,0,0,0,0,0,
177,43.21608,76.88781,51.87,100,2.0,170.68,0.02,0.01,0.0,2,0,0,2,0,0,0,0,0,0,
178,43.21592,76.88783,83.2,100,-3.0,172.87,0.33,0.16,-1.0,0,1,0,2,0,0,0,0,0,0,
179,43.21491,76.88798,26.11,40,-3.0,171.55,0.85,0.71,0.0,1,0,1,2,0,0,0,0,0,0,
180,43.21485,76.88799,30.8,40,2.0,170.54,0.57,0.42,1.0,1,0,1,0,0,0,0,0,0,0,
181,43.21385,76.88814,81.04,100,-1.88,171.47,0.14,0.07,-1.0,0,0,0,2,0,0,0,0,0,0,
182,43.21341,76.88821,26.29,40,0.27,170.96,0.33,0.27,1.0,1,0,1,0,0,0,0,0,0,0,
183,43.21341,76.88821,81.68,100,2.0,0.0,25.0,12.5,1.0,0,1,0,2,0,0,0,0,0,0,
184,43.21343,76.88836,32.51,40,-3.0,82.41,25.0,17.64,-1.0,0,1,1,3,0,0,0,0,0,0,
185,43.21344,76.88842,46.1,40,2.0,100.02,36.79,29.43,1.0,0,0,1,2,0,0,0,1,0,0,Sudden turn with yaw rate 36.79 deg/s (above 25 threshold) at speed 46.1 km/h
186,43.21345,76.88849,60.3,100,2.0,81.87,0.2,0.1,0.0,0,1,0,0,0,0,0,0,0,0,
187,43.21347,76.88861,60.99,100,-3.0,80.54,0.2,0.1,-1.0,2,0,0,2,0,0,0,0,0,0,
188,43.21349,76.88889,16.38,40,-3.78,116.9,55.21,48.38,0.0,1,1,1,2,0,0,0,0,1,0,Tight turn with steering angle 48.38 deg (above 35 threshold) and yaw rate 55.21 deg/s
189,43.21359,76.89001,23.72,40,-3.0,84.9,0.71,0.63,0.0,2,0,1,2,0,0,0,0,0,0,
190,43.2137,76.89105,13.57,40,2.0,83.96,1.01,1.28,1.0,2,2,1,3,0,0,0,0,0,0,
191,43.21371,76.89116,44.19,60,2.0,84.81,0.45,0.25,0.0,0,1,2,1,0,0,0,0,0,0,
192,43.21374,76.89144,35.44,40,-3.0,83.88,0.46,0.3,-1.0,1,0,1,2,0,0,0,0,0,0,
193,43.21382,76.89217,32.96,40,4.43,83.75,0.07,0.05,3.62,0,0,1,3,0,1,0,0,0,0,Sudden acceleration with acceleration 4.43 m/s² (above +2 threshold)
194,43.21385,76.89257,80.06,60,-2.14,85.71,1.03,0.56,-1.0,0,1,2,3,0,0,0,0,0,1,Speeding at 80.06 km/h with limit 60 km/h (33% over)
195,43.21386,76.89303,27.84,40,-3.0,88.75,1.85,1.47,-0.86,0,0,1,3,0,0,0,0,0,0,
196,43.21386,76.89329,17.88,40,2.0,90.0,1.09,1.17,1.0,1,3,1,2,0,0,0,0,0,0,
197,43.21393,76.89455,37.29,60,2.0,86.82,1.96,1.24,0.0,2,0,2,0,0,0,0,0,0,0,
198,43.21393,76.89455,39.96,60,-3.0,0.0,25.0,15.01,-1.0,0,2,2,1,0,0,0,0,0,0,
199,43.21289,76.89466,47.89,40,2.0,173.96,25.0,24.03,1.0,1,0,1,0,0,0,0,0,0,0,
200,43.21216,76.89479,0.0,60,-6.33,169.9,2.0,1.03,-3.96,0,0,2,2,0,0,1,0,0,0,Sudden stop with speed drop of 47.9 km/h and hard braking (-6.33 m/s²)
201,43.21216,76.89479,82.72,60,2.0,0.0,15.0,10.0,0.0,0,0,2,3,0,0,0,0,0,1,Speeding at 82.72 km/h with limit 60 km/h (38% over)
202,43.18858,76.85811,62.9,100,-3.0,237.26,25.0,12.5,-1.0,1,0,0,3,0,0,0,0,0,0,
203,43.1887,76.85808,43.42,100,-3.0,345.96,22.45,12.61,0.0,2,2,0,2,0,0,0,0,0,0,
204,43.18911,76.85802,23.67,40,-3.0,351.67,3.98,3.55,0.0,2,0,1,1,0,0,0,0,0,0,
205,43.18988,76.85794,15.7,40,0.72,354.07,2.31,2.7,1.0,2,0,1,3,0,0,0,0,0,0,
206,43.19063,76.85785,25.41,40,2.0,16.42,41.05,34.78,1.0,1,0,1,3,0,0,0,1,0,0,Sudden turn with yaw rate 41.05 deg/s (above 25 threshold) at speed 25.41 km/h
207,43.19073,76.85784,35.72,60,2.0,354.29,0.72,0.47,0.0,1,0,2,0,0,0,0,0,0,0,
208,43.19083,76.85782,49.96,100,-2.64,348.69,1.02,0.51,-1.0,2,0,0,2,0,0,0,0,0,0,
209,43.19285,76.8571,67.73,40,2.0,340.38,4.83,3.68,1.0,0,0,1,1,0,0,0,0,0,0,
210,43.19464,76.8564,0.0,100,-6.92,338.64,0.26,0.13,-3.56,0,0,0,2,0,0,1,0,0,0,Sudden stop with speed drop of 67.7 km/h and hard braking (-6.92 m/s²)
211,43.19464,76.8564,45.39,60,-3.0,0.0,25.0,13.54,-1.0,2,0,2,3,0,0,0,0,0,0,
